p,i,j,k,q_final
1,7,8,1,2
0,3,7,1,1
1,3,7,1,2
0,10,9,2,1
0,4,10,2,2
1,4,10,2,2
0,11,12,3,1
0,5,11,3,1
1,5,11,3,1
0,14,13,4,2
1,14,13,4,1
0,6,14,4,4
1,6,14,4,2
0,6,3,0,1
1,6,3,0,2
0,5,6,0,5
1,5,6,0,4
0,4,5,0,6
1,4,5,0,5
0,1,4,0,8
1,1,4,0,7
0,2,1,0,8
