p,i,j,k,q_final
1,7,8,1,3
0,3,7,1,1
1,3,7,1,5
0,4,10,2,3
1,4,10,2,2
0,12,11,3,1
1,12,11,3,1
0,5,12,3,4
1,5,12,3,2
0,6,13,4,2
0,14,3,0,1
1,14,3,0,5
0,5,14,0,1
1,5,14,0,11
0,4,5,0,5
1,4,5,0,13
0,9,4,0,8
1,9,4,0,15
0,1,9,0,8
1,1,9,0,17
0,2,1,0,8
