p,i,j,k,q_final
0,8,7,1,1
1,8,7,1,2
0,3,8,1,1
1,3,8,1,5
1,10,9,2,2
0,4,10,2,3
1,4,10,2,4
0,12,11,3,1
1,12,11,3,1
0,5,12,3,4
1,5,12,3,2
1,13,14,4,6
0,6,13,4,2
1,6,13,4,6
0,5,4,0,3
1,5,4,0,4
0,6,5,0,7
1,6,5,0,6
0,3,6,0,9
1,3,6,0,12
0,1,3,0,10
1,1,3,0,17
0,2,1,0,10
