p,i,j,k,q_final
1,7,8,1,3
0,3,7,1,1
1,3,7,1,5
0,4,10,2,3
1,4,10,2,2
0,12,11,3,1
1,12,11,3,1
0,5,12,3,4
1,5,12,3,2
1,6,14,4,6
0,6,3,0,1
1,6,3,0,5
0,13,6,0,1
1,13,6,0,11
0,5,13,0,3
1,5,13,0,11
0,9,5,0,7
1,9,5,0,13
0,4,9,0,7
1,4,9,0,15
0,1,4,0,10
1,1,4,0,17
0,2,1,0,10
